business,open,city,review_count,name,state,stars
1,true,Phoenix,7,Eric Goldberg|| MD,AZ,3.5
2,true,De Forest,26,Pine Cone Restaurant,WI,4.0
3,true,De Forest,16,Deforest Family Restaurant,WI,4.0
4,true,De Forest,7,Culver's,WI,4.5
5,true,De Forest,3,Chang Jiang Chinese Kitchen,WI,4.0
6,false,Mc Farland,10,Charter Communications,WI,1.5
7,true,Mc Farland,4,Air Quality Systems,WI,2.0
8,true,Mc Farland,4,McFarland Public Library,WI,2.5
9,true,Mc Farland,33,Green Lantern Restaurant,WI,3.5
10,true,Mc Farland,3,Spartan Animal Hospital,WI,4.5
11,true,Mc Farland,31,Beach House Restaurant & Lounge,WI,3.5
12,true,Mc Farland,9,Parsonage Bed & Breakfast the,WI,5.0
13,true,Mc Farland,3,Spartan Bowl,WI,1.5
14,true,Mc Farland,4,Spartan Pizza,WI,3.5
15,true,Mc Farland,8,Main Moon Chinese Restaurant,WI,3.5
16,false,Middleton,5,Crandalls Carryout & Catering,WI,4.0
17,true,Middleton,41,Imperial Garden Chinese Restaurant,WI,3.0
18,false,Middleton,17,Mi Cocina,WI,3.0
19,true,Middleton,5,Zimbrick Acura,WI,2.5
20,true,Middleton,3,Keva Sports Center,WI,3.5
21,true,Middleton,3,Wild Birds Unlimited,WI,4.5
22,true,Middleton,6,Staybridge Suites Extended Stay Hotel Middleton/Madison-West,WI,4.5
23,true,Middleton,5,Harbor Athletic Club,WI,5.0
24,true,Middleton,3,Domino's Pizza,WI,3.0
25,true,Middleton,4,Archivers,WI,3.0
26,true,Middleton,3,Michaels,WI,4.0
27,true,Middleton,7,Greenway Station Shopping Center,WI,3.5
28,true,Middleton,22,Barriques Wine & Spirits,WI,4.0
29,true,Middleton,12,China Wok Buffet,WI,2.5
30,true,Middleton,38,Prairie Cafe & Bakery,WI,3.5
31,true,Middleton,11,Paul's Neighborhood Bar,WI,3.5
32,true,Middleton,28,Chin's Asia Fresh,WI,3.0
33,true,Middleton,6,Grand China Restaurant,WI,3.0
34,true,Middleton,3,Lori's Pet-Agree Salon Llc,WI,5.0
35,true,Middleton,5,Dennys,WI,3.0
36,true,Middleton,6,Starbucks,WI,3.0
37,true,Middleton,6,Cold Stone Creamery,WI,2.5
38,true,Middleton,16,Bristled Boar Saloon & Grill,WI,3.5
39,true,Middleton,3,Killian Dental Clinic,WI,5.0
40,true,Middleton,6,McDonald's,WI,4.0
41,true,Middleton,5,All Pets Veterinary Clinic,WI,5.0
42,true,Middleton,8,Fairfield Inn & Suites Madison West,WI,3.5
43,true,Middleton,10,Hody Bar & Grill,WI,2.5
44,true,Middleton,56,Louisianne's Etc,WI,4.0
45,true,Middleton,35,Marriott-Madison West,WI,2.5
46,true,Middleton,3,Bowling Green Rec Center,WI,3.5
47,true,Middleton,14,Clasen's European Bakery,WI,3.5
48,true,Middleton,12,Hilton Garden Inn Madison West/Middleton,WI,4.0
49,true,Middleton,3,Ace Hardware,WI,5.0
50,true,Middleton,3,Papa John's Pizza,WI,1.5
51,true,Middleton,19,Three Sisters Old Town Inn,WI,4.0
52,true,Middleton,11,Dick & Arnie's Barber Shop,WI,4.5
53,true,Middleton,3,Revolution Hair Company Inc,WI,5.0
54,true,Middleton,10,Middleton Sport Bowl,WI,4.0
55,true,Middleton,3,Middleton Public Pibrary,WI,3.5
56,false,Middleton,7,Stamm House At Pheasant Branch,WI,2.0
57,true,Middleton,3,Bennett's Auto Repair LLC,WI,5.0
58,true,Middleton,3,Dunn's Import Inc,WI,5.0
59,true,Middleton,3,Walgreens,WI,4.5
60,true,Middleton,5,Hardee's,WI,4.0
61,true,Madison,5,Full Compass Systems,WI,3.5
62,true,Middleton,3,DSW,WI,3.5
63,true,Middleton,34,The Village Green Bar & Grill,WI,4.0
64,true,Middleton,5,Walgreens,WI,3.0
65,true,Madison,6,Banana Republic,WI,3.0
66,true,Middleton,16,Nitty Gritty Restaurant & Bar,WI,3.0
67,true,Middleton,7,Brandon Eyes,WI,4.5
68,true,Middleton,12,Culver's,WI,4.5
69,true,Middleton,3,Magic Wash Inc,WI,4.5
70,false,Middleton,7,Tangles,WI,2.0
71,true,Middleton,53,Vin Santo,WI,4.0
72,false,Middleton,3,Soup Factory,WI,3.0
73,true,Middleton,16,Club Tavern & Grille,WI,2.5
74,true,Middleton,4,Jiffy Lube,WI,4.0
75,true,Middleton,15,C's Restaurant Bakery and Coffee Shop,WI,4.0
76,true,Middleton,4,LOFT,WI,2.0
77,true,Middleton,3,Arbor Lakes At Middleton,WI,1.5
78,true,Middleton,9,The Bruce Company,WI,2.5
79,true,Middleton,3,Patches and Pieces,WI,4.0
80,true,Middleton,36,Capital Brewery & Beer Garden,WI,4.0
81,true,Middleton,12,Scott's Pastry Shoppe,WI,4.0
82,true,Middleton,10,Zimbrick Volkswagen,WI,3.5
83,true,Sun Prairie,14,Burger King,WI,1.5
84,true,Sun Prairie,4,Pizza Pit,WI,2.5
85,true,Sun Prairie,3,The UPS Store,WI,3.5
86,true,Sun Prairie,5,Sun Prairie Public Library,WI,5.0
87,true,Sun Prairie,8,Panda Garden,WI,4.0
88,true,Sun Prairie,9,Chang Jiang,WI,3.0
89,false,Sun Prairie,20,Deli Roma,WI,4.0
90,true,Sun Prairie,3,Family Video,WI,3.0
91,true,Sun Prairie,20,SIR Hobo's,WI,3.0
92,true,Sun Prairie,6,Peking Chinese Restaurant,WI,3.0
93,true,Sun Prairie,9,Prairie Diner,WI,4.5
94,true,Sun Prairie,3,Sun Prairie Golf Course,WI,2.5
95,true,Sun Prairie,3,Kfc,WI,1.0
96,true,Sun Prairie,7,Prairie Athletic Club,WI,4.5
97,true,Sun Prairie,4,McV Salon,WI,5.0
98,true,Sun Prairie,3,Wal-Mart,WI,2.0
99,true,Sun Prairie,9,Country Cafe,WI,3.5
100,true,Sun Prairie,3,Angell Park Speedway,WI,3.5
101,true,Sun Prairie,4,Dairy Queen,WI,4.0
102,true,Sun Prairie,3,Prairie Land Service Center,WI,5.0
103,true,Sun Prairie,4,Ammo Box,WI,4.5
104,true,Windsor,6,Lake Windsor Golf Club,WI,4.0
105,true,Windsor,14,The Rodeside Grill,WI,3.5
106,true,Windsor,6,A&W Restaurant,WI,3.5
107,true,Windsor,23,Mousehouse Cheesehaus,WI,4.0
108,true,Madison,3,Summit Credit Union,WI,3.5
109,true,Madison,4,Sugar Shack Records,WI,2.5
110,false,Madison,14,Java Detour,WI,4.5
111,true,Madison,8,Target,WI,4.0
112,true,Madison,20,Flaming Wok,WI,3.5
113,true,Madison,4,Old Navy Store,WI,4.0
114,true,Madison,4,Sprint,WI,3.0
115,true,Madison,6,The Coffee Gallerie,WI,3.0
116,false,Madison,3,Bongo Video,WI,5.0
117,true,Madison,19,Laredo's,WI,3.5
118,true,Madison,17,China Wok,WI,3.5
119,true,Madison,3,Cousins Subs,WI,3.5
120,true,Madison,14,Sports Pub,WI,2.5
121,true,Madison,10,Burger King,WI,1.5
122,true,Madison,3,Wiggie's,WI,1.5
123,true,Madison,7,Rebecca Lynn Studio,WI,5.0
124,true,Madison,8,Jo-Ann Fabrics & Crafts,WI,2.0
125,true,Middleton,46,Cheeseburger in Paradise,WI,2.5
126,true,Madison,22,Benvenuto's Italian Grill,WI,3.0
127,true,Madison,5,Boston Store,WI,1.5
128,true,Madison,16,Wilson's Bar,WI,3.5
129,true,Madison,16,Barrymore Theatre,WI,4.0
130,true,Madison,7,Chocolate Shoppe Ice Cream,WI,3.5
131,true,Madison,4,JCPenney,WI,3.5
132,true,Madison,3,Econo Lodge,WI,2.0
133,true,Madison,5,Heel & Sole Connection,WI,4.0
134,false,Madison,3,Rocky Rococo Pan Style Pizza,WI,1.5
135,true,Madison,6,Denny's,WI,2.5
136,true,Madison,43,New Orleans Take-Out,WI,4.0
137,true,Madison,5,Sandhill Pet Clinic,WI,5.0
138,true,Madison,48,Pedro's Mexican Restaurante,WI,2.5
139,true,Madison,3,Guitar Shop of Wisconsin,WI,5.0
140,true,Madison,3,Schenk's Corners Coin-Op Laundromat,WI,4.5
141,true,Madison,8,Perkins Restaurant & Bakery,WI,2.5
142,true,Madison,6,Chang Jiang,WI,2.0
143,true,Madison,6,Red Letter News,WI,2.5
144,true,Madison,13,Cracker Barrel Old Country Store,WI,3.0
145,true,Madison,25,Union Cab of Madison,WI,3.5
146,true,Madison,5,Hardee's,WI,4.0
147,true,Madison,5,Enterprise Rent-A-Car,WI,4.5
148,true,Madison,5,Culver's,WI,2.0
149,true,Madison,10,The Home Depot,WI,3.0
150,true,Madison,6,Microtel Inn & Suites Madison,WI,2.5
151,true,Madison,9,Chili's,WI,3.0
152,true,Madison,8,Copps Food Center,WI,3.0
153,true,Madison,3,Madison Area Technical College,WI,4.5
154,true,Madison,6,Slice-N-Bullits Bar & Grill,WI,4.0
155,false,Madison,5,Designs By the Bay,WI,2.5
156,true,Madison,3,Sarku Japan,WI,4.5
157,true,Madison,13,Revolution Cycles,WI,4.0
158,true,Madison,3,Busse's Markway Tavern Inc,WI,4.0
159,true,Madison,13,Half Price Books,WI,4.0
160,true,Madison,6,East Towne Mall,WI,2.0
161,true,Madison,4,Mermaid Car Wash,WI,2.0
162,true,Madison,13,Applebee's,WI,2.5
163,true,Madison,9,Bridges Golf Course,WI,3.5
164,true,Madison,3,McDonald's,WI,3.0
165,true,Madison,3,Wendy's,WI,1.0
166,true,Madison,8,Best Western Plus East Towne Suites,WI,2.0
167,true,Madison,9,Altered States Alterations,WI,4.5
168,true,Madison,4,Taco Bell,WI,4.0
169,false,Madison,3,Williamson Bikes & Fitness,WI,3.5
170,false,Madison,3,Area 51 Vintage Interiors,WI,3.0
171,true,Madison,16,Red Lobster,WI,3.0
172,true,Madison,5,Block Systems Cleaners Inc,WI,4.0
173,true,Madison,53,Dexter's Pub,WI,4.0
174,true,Madison,16,HomeTown Buffet,WI,3.0
175,true,Madison,4,Valvoline Instant Oil Change,WI,3.5
176,true,Madison,19,Noodles & Company,WI,4.0
177,true,Madison,32,Crowne Plaza Madison,WI,2.5
178,false,Madison,3,Dorn True Value Hardware,WI,2.5
179,true,Madison,6,Eagle Crest Bar,WI,2.5
180,true,Madison,4,Klein Floral & Greenhouses Inc.,WI,2.5
181,true,Madison,4,Millennium Salon,WI,4.5
182,true,Madison,6,Michaels,WI,2.5
183,true,Madison,9,International House of Pancakes,WI,2.0
184,true,Madison,4,Comfort Inn & Suites Airport,WI,3.5
185,true,Madison,27,Jenifer Street Market,WI,3.5
186,true,Madison,6,Bowl-A-Vard Lanes,WI,3.5
187,true,Madison,3,Papa John's,WI,3.5
188,false,Madison,19,Wong's Garden,WI,3.5
189,true,Madison,7,Bridals by Joyce,WI,4.0
190,true,Madison,25,Cool Beans Coffee House and Cafe,WI,4.0
191,true,Madison,266,Monty's Blue Plate Diner,WI,4.0
192,true,Madison,15,Jim's Meat Market,WI,4.5
193,true,Madison,14,Speckled Hen Inn Bed & Breakfast,WI,5.0
194,true,Madison,7,Hampton Inn Madison East Towne Mall Area,WI,3.5
195,true,Madison,11,Villa Tap,WI,4.0
196,true,Madison,4,Ideal Bar,WI,4.0
197,true,Madison,9,Players Sports Bar,WI,4.5
198,true,Madison,8,Ohio Tavern,WI,3.0
199,true,Madison,8,Menards,WI,3.0
200,true,Madison,40,People's Bakery,WI,4.0
201,true,Madison,4,Rosati's Authentic Chicago Pizza,WI,4.0
202,true,Madison,4,007 Nails,WI,3.0
203,true,Madison,3,Wash Basket,WI,3.5
204,true,Madison,11,Inferno,WI,4.5
205,true,Madison,6,PetSmart,WI,2.5
206,true,Madison,8,Goodwill Industries of S Central Wisconsn Inc,WI,3.5
207,true,Madison,5,Serenity Salon & Day Spa,WI,3.5
208,true,Madison,24,Cafe Zoma,WI,3.5
209,true,Madison,3,Food Fight Inc,WI,3.5
210,true,Madison,28,Madison Mallards,WI,4.5
211,true,Madison,48,Olbrich Botanical Gardens,WI,4.5
212,true,Madison,7,Pizza Pit,WI,2.5
213,true,Madison,34,Maharaja Restaurant E Pt Plaza,WI,4.0
214,true,Madison,19,Esquire Club,WI,3.0
215,true,Madison,11,Olive Garden Italian Restaurant,WI,3.5
216,true,Madison,31,Imperial Garden Chinese Restaurant,WI,3.5
217,true,Madison,4,Goodyear Auto Service Centers,WI,2.0
218,true,Madison,4,Verizon Wireless,WI,1.5
219,true,Madison,11,Mr Roberts,WI,3.0
220,true,Madison,3,Great Clips,WI,1.5
221,true,Madison,3,Wisconsin Aviation,WI,4.5
222,true,Madison,21,Tip Top Tavern,WI,4.0
223,true,Madison,7,Ford's Gym,WI,4.5
224,true,Madison,36,Harmony Bar & Grill,WI,4.0
225,true,Madison,4,Resale Records,WI,3.5
226,true,Madison,10,TGI Friday's,WI,3.0
